req_id,keyword,filename,client_latency_ms,server_time_ms,cached,host
1,sea,moby_dick.txt,3.183,0.198,True,wc_server_alpha
2,whale,moby_dick.txt,3.512,0.109,True,wc_server_gamma
3,father,frankenstein.txt,3.75,0.249,True,wc_server_beta
4,parents,frankenstein.txt,3.865,0.142,True,wc_server_alpha
5,artist,moby_dick.txt,3.421,0.145,True,wc_server_gamma
6,sailor,moby_dick.txt,3.778,0.147,True,wc_server_beta
